,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
233,2020,2,San Juan,69.521,256,69.777
234,2020,2,San Luis,113.804,148,113.952
235,2020,2,Santa Cruz,38.672,197,38.869
236,2020,2,Santa Fe,777.795,137,777.932
237,2020,2,Santiago Del Estero,105.446,1,105.447
238,2020,2,Tierra Del Fuego,38.900,289,39.189
239,2020,2,Tucumán,217.134,22,217.156
240,2020,1,Buenos Aires,3.702.985,5.066,3.708.051
241,2020,1,Capital Federal,1.352.104,1.390,1.353.494
242,2020,1,Catamarca,39.634,1,39.635
243,2020,1,Chaco,120.274,3,120.277
244,2020,1,Chubut,95.938,800,96.738
245,2020,1,Córdoba,811.044,55,811.099
246,2020,1,Corrientes,113.967,3,113.970
247,2020,1,Entre Ríos,231.833,13,231.846
248,2020,1,Formosa,46.434,- 0,46.434
249,2020,1,Jujuy,91.665,- 0,91.665
250,2020,1,La Pampa,89.110,116,89.226
251,2020,1,La Rioja,48.337,3,48.340
252,2020,1,Mendoza,182.837,615,183.452
253,2020,1,Misiones,133.552,- 0,133.552
254,2020,1,Neuquén,121.354,373,121.727
255,2020,1,Río Negro,125.699,501,126.200
256,2020,1,Salta,170.379,2,170.381
257,2020,1,San Juan,63.975,256,64.231
258,2020,1,San Luis,110.404,148,110.552
259,2020,1,Santa Cruz,38.625,197,38.822
260,2020,1,Santa Fe,770.981,137,771.118
261,2020,1,Santiago Del Estero,102.754,1,102.755
262,2020,1,Tierra Del Fuego,38.505,289,38.794
263,2020,1,Tucumán,200.045,22,200.067
264,2019,4,Buenos Aires,3.681.120,5.134,3.686.254
265,2019,4,Capital Federal,1.356.695,1.410,1.358.105
266,2019,4,Catamarca,38.310,1,38.311
267,2019,4,Chaco,117.900,3,117.903
268,2019,4,Chubut,95.292,810,96.102
269,2019,4,Córdoba,806.633,55,806.688
270,2019,4,Corrientes,113.831,3,113.834
271,2019,4,Entre Ríos,239.017,13,239.030
272,2019,4,Formosa,46.711,- 0,46.711
273,2019,4,Jujuy,88.881,- 0,88.881
274,2019,4,La Pampa,90.280,119,90.399
275,2019,4,La Rioja,48.999,3,49.002
276,2019,4,Mendoza,185.157,623,185.780
277,2019,4,Misiones,135.813,- 0,135.813
278,2019,4,Neuquén,116.069,376,116.445
279,2019,4,Río Negro,126.636,504,127.140
280,2019,4,Salta,172.443,2,172.445
281,2019,4,San Juan,64.715,259,64.974
282,2019,4,San Luis,108.053,148,108.201
283,2019,4,Santa Cruz,39.170,200,39.370
284,2019,4,Santa Fe,769.019,150,769.169
285,2019,4,Santiago Del Estero,103.587,1,103.588
286,2019,4,Tierra Del Fuego,40.101,291,40.392
287,2019,4,Tucumán,198.621,23,198.644
