,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
329,2019,2,San Juan,9,2019-04-01
330,2019,2,San Luis,23,2019-04-01
331,2019,2,Santa Cruz,9,2019-04-01
332,2019,2,Santa Fe,21,2019-04-01
333,2019,2,Santiago Del Estero,13,2019-04-01
334,2019,2,Tierra Del Fuego,28,2019-04-01
335,2019,2,Tucumán,10,2019-04-01
336,2019,1,Buenos Aires,22,2019-01-01
337,2019,1,Capital Federal,46,2019-01-01
338,2019,1,Catamarca,8,2019-01-01
339,2019,1,Chaco,9,2019-01-01
340,2019,1,Chubut,13,2019-01-01
341,2019,1,Córdoba,20,2019-01-01
342,2019,1,Corrientes,9,2019-01-01
343,2019,1,Entre Ríos,17,2019-01-01
344,2019,1,Formosa,8,2019-01-01
345,2019,1,Jujuy,12,2019-01-01
346,2019,1,La Pampa,25,2019-01-01
347,2019,1,La Rioja,13,2019-01-01
348,2019,1,Mendoza,11,2019-01-01
349,2019,1,Misiones,10,2019-01-01
350,2019,1,Neuquén,18,2019-01-01
351,2019,1,Río Negro,16,2019-01-01
352,2019,1,Salta,10,2019-01-01
353,2019,1,San Juan,8,2019-01-01
354,2019,1,San Luis,19,2019-01-01
355,2019,1,Santa Cruz,7,2019-01-01
356,2019,1,Santa Fe,21,2019-01-01
357,2019,1,Santiago Del Estero,9,2019-01-01
358,2019,1,Tierra Del Fuego,28,2019-01-01
359,2019,1,Tucumán,10,2019-01-01
360,2018,4,Buenos Aires,21,2018-10-01
361,2018,4,Capital Federal,45,2018-10-01
362,2018,4,Catamarca,8,2018-10-01
363,2018,4,Chaco,9,2018-10-01
364,2018,4,Chubut,13,2018-10-01
365,2018,4,Córdoba,20,2018-10-01
366,2018,4,Corrientes,9,2018-10-01
367,2018,4,Entre Ríos,16,2018-10-01
368,2018,4,Formosa,8,2018-10-01
369,2018,4,Jujuy,12,2018-10-01
370,2018,4,La Pampa,24,2018-10-01
371,2018,4,La Rioja,13,2018-10-01
372,2018,4,Mendoza,11,2018-10-01
373,2018,4,Misiones,9,2018-10-01
374,2018,4,Neuquén,18,2018-10-01
375,2018,4,Río Negro,16,2018-10-01
376,2018,4,Salta,10,2018-10-01
377,2018,4,San Juan,8,2018-10-01
378,2018,4,San Luis,19,2018-10-01
379,2018,4,Santa Cruz,7,2018-10-01
380,2018,4,Santa Fe,21,2018-10-01
381,2018,4,Santiago Del Estero,9,2018-10-01
